Po,1.00E+06,Pa,,Tw,460,K,,Ex_1,0.166666667,,,,,
To,300,K,,Ti,300,K,,Ex_2,0.5625,,,,,
R_air,287.7,J/kg-K,,g,9.81,,,Ex_3,0.296296296,,,,,
do,0.02,m,,,,,,C_1,0.6,,,,,
di,0.01,m,,k,2.63E-02,,,C_2,0.387,,,,,
rhoo,11.58614297,,,cp,1007,,,C_3,0.559,,,,,
m,0.002729921,,,visc,1.85E-05,,,C_4,1.204988454,,,,,
,,,,Pr,0.706814449,,,,,,,,,
dt,0.01,s,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,Film  Properties,,,,,,Bulk Properties
Time,Tc,Tf,Pc,Ra_d,Nu_d,h,dT/dt,rho ,beta,k,cp,visc,Pr,cp
0,300.000,380.000,1000000,7.168E+05,1.324E+01,3.481E+01,6.366E+01,9.146954979,0.002631579,0.0263,1007,0.00001846,0.706814449,1007
0.01,300.637,380.318,1002121.865,7.152E+05,1.323E+01,3.479E+01,6.336E+01,9.158692459,0.002629377,0.0263,1007,0.00001846,0.706814449,1007
0.02,301.270,380.635,1004233.959,7.136E+05,1.322E+01,3.477E+01,6.307E+01,9.1703564,0.002627188,0.0263,1007,0.00001846,0.706814449,1007
0.03,301.901,380.950,1006336.327,7.119E+05,1.321E+01,3.475E+01,6.278E+01,9.181947357,0.002625013,0.0263,1007,0.00001846,0.706814449,1007
0.04,302.529,381.264,1008429.01,7.103E+05,1.320E+01,3.473E+01,6.249E+01,9.193465881,0.002622852,0.0263,1007,0.00001846,0.706814449,1007
0.05,303.154,381.577,1010512.053,7.087E+05,1.320E+01,3.470E+01,6.220E+01,9.204912519,0.002620704,0.0263,1007,0.00001846,0.706814449,1007
0.06,303.776,381.888,1012585.498,7.070E+05,1.319E+01,3.468E+01,6.192E+01,9.216287813,0.00261857,0.0263,1007,0.00001846,0.706814449,1007
0.07,304.395,382.197,1014649.387,7.054E+05,1.318E+01,3.466E+01,6.163E+01,9.227592301,0.002616449,0.0263,1007,0.00001846,0.706814449,1007
0.08,305.011,382.506,1016703.765,7.037E+05,1.317E+01,3.464E+01,6.135E+01,9.238826517,0.002614341,0.0263,1007,0.00001846,0.706814449,1007
0.09,305.625,382.812,1018748.673,7.021E+05,1.316E+01,3.461E+01,6.106E+01,9.249990988,0.002612246,0.0263,1007,0.00001846,0.706814449,1007
0.1,306.235,383.118,1020784.155,7.004E+05,1.315E+01,3.459E+01,6.078E+01,9.26108624,0.002610164,0.0263,1007,0.00001846,0.706814449,1007
0.11,306.843,383.422,1022810.253,6.988E+05,1.314E+01,3.457E+01,6.050E+01,9.272112792,0.002608096,0.0263,1007,0.00001846,0.706814449,1007
0.12,307.448,383.724,1024827.009,6.971E+05,1.313E+01,3.454E+01,6.022E+01,9.28307116,0.002606039,0.0263,1007,0.00001846,0.706814449,1007
0.13,308.050,384.025,1026834.466,6.954E+05,1.313E+01,3.452E+01,5.995E+01,9.293961856,0.002603996,0.0263,1007,0.00001846,0.706814449,1007
0.14,308.650,384.325,1028832.667,6.938E+05,1.312E+01,3.450E+01,5.967E+01,9.304785386,0.002601965,0.0263,1007,0.00001846,0.706814449,1007
0.15,309.246,384.623,1030821.654,6.921E+05,1.311E+01,3.448E+01,5.939E+01,9.315542254,0.002599947,0.0263,1007,0.00001846,0.706814449,1007
0.16,309.840,384.920,1032801.469,6.904E+05,1.310E+01,3.445E+01,5.912E+01,9.326232958,0.002597941,0.0263,1007,0.00001846,0.706814449,1007
0.17,310.432,385.216,1034772.154,6.887E+05,1.309E+01,3.443E+01,5.885E+01,9.336857992,0.002595947,0.0263,1007,0.00001846,0.706814449,1007
0.18,311.020,385.510,1036733.752,6.870E+05,1.308E+01,3.441E+01,5.858E+01,9.347417848,0.002593966,0.0263,1007,0.00001846,0.706814449,1007
0.19,311.606,385.803,1038686.303,6.854E+05,1.307E+01,3.438E+01,5.831E+01,9.357913012,0.002591997,0.0263,1007,0.00001846,0.706814449,1007
0.2,312.189,386.094,1040629.85,6.837E+05,1.306E+01,3.436E+01,5.804E+01,9.368343965,0.00259004,0.0263,1007,0.00001846,0.706814449,1007
0.21,312.769,386.385,1042564.436,6.820E+05,1.306E+01,3.433E+01,5.777E+01,9.378711186,0.002588094,0.0263,1007,0.00001846,0.706814449,1007
0.22,313.347,386.674,1044490.1,6.803E+05,1.305E+01,3.431E+01,5.750E+01,9.389015149,0.002586161,0.0263,1007,0.00001846,0.706814449,1007
0.23,313.922,386.961,1046406.885,6.786E+05,1.304E+01,3.429E+01,5.724E+01,9.399256324,0.00258424,0.0263,1007,0.00001846,0.706814449,1007
