Po,1.00E+06,Pa,,Tw,550,K,,Ex_1,0.166666667,,,,,
To,300,K,,Ti,420,K,,Ex_2,0.5625,,,,,
R_air,287.7,J/kg-K,,g,9.81,,,Ex_3,0.296296296,,,,,
do,0.02,m,,,,,,C_1,0.6,,,,,
di,0.01,m,,k,2.63E-02,,,C_2,0.387,,,,,
rhoo,11.58614297,,,cp,1007,,,C_3,0.559,,,,,
m,0.002729921,,,visc,1.85E-05,,,C_4,1.204988454,,,,,
,,,,Pr,0.706814449,,,,,,,,,
dt,0.01,s,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,Film  Properties,,,,,,Bulk Properties
Time,Tc,Tf,Pc,Ra_d,Nu_d,h,dT/dt,rho ,beta,k,cp,visc,Pr,cp
0,420.000,485.000,1400000,5.490E+05,1.229E+01,3.233E+01,4.803E+01,10.03336093,0.002061856,0.0263,1007,0.00001846,0.706814449,1007
0.01,420.480,485.240,1401601.133,5.475E+05,1.228E+01,3.231E+01,4.782E+01,10.03986404,0.002060835,0.0263,1007,0.00001846,0.706814449,1007
0.02,420.959,485.479,1403195.072,5.459E+05,1.227E+01,3.228E+01,4.760E+01,10.04633155,0.00205982,0.0263,1007,0.00001846,0.706814449,1007
0.03,421.435,485.717,1404781.853,5.443E+05,1.226E+01,3.225E+01,4.739E+01,10.0527637,0.002058811,0.0263,1007,0.00001846,0.706814449,1007
0.04,421.908,485.954,1406361.511,5.427E+05,1.225E+01,3.223E+01,4.718E+01,10.05916071,0.002057807,0.0263,1007,0.00001846,0.706814449,1007
0.05,422.380,486.190,1407934.084,5.411E+05,1.224E+01,3.220E+01,4.697E+01,10.06552283,0.002056809,0.0263,1007,0.00001846,0.706814449,1007
0.06,422.850,486.425,1409499.605,5.395E+05,1.223E+01,3.218E+01,4.676E+01,10.0718503,0.002055816,0.0263,1007,0.00001846,0.706814449,1007
0.07,423.317,486.659,1411058.111,5.380E+05,1.222E+01,3.215E+01,4.655E+01,10.07814334,0.002054828,0.0263,1007,0.00001846,0.706814449,1007
0.08,423.783,486.891,1412609.636,5.364E+05,1.221E+01,3.212E+01,4.634E+01,10.0844022,0.002053846,0.0263,1007,0.00001846,0.706814449,1007
0.09,424.246,487.123,1414154.216,5.348E+05,1.220E+01,3.210E+01,4.613E+01,10.0906271,0.002052869,0.0263,1007,0.00001846,0.706814449,1007
0.1,424.708,487.354,1415691.886,5.333E+05,1.220E+01,3.207E+01,4.592E+01,10.09681827,0.002051897,0.0263,1007,0.00001846,0.706814449,1007
0.11,425.167,487.583,1417222.68,5.317E+05,1.219E+01,3.205E+01,4.572E+01,10.10297594,0.002050931,0.0263,1007,0.00001846,0.706814449,1007
0.12,425.624,487.812,1418746.632,5.302E+05,1.218E+01,3.202E+01,4.551E+01,10.10910033,0.00204997,0.0263,1007,0.00001846,0.706814449,1007
0.13,426.079,488.040,1420263.777,5.286E+05,1.217E+01,3.200E+01,4.531E+01,10.11519166,0.002049014,0.0263,1007,0.00001846,0.706814449,1007
0.14,426.532,488.266,1421774.15,5.271E+05,1.216E+01,3.197E+01,4.511E+01,10.12125016,0.002048063,0.0263,1007,0.00001846,0.706814449,1007
0.15,426.983,488.492,1423277.783,5.255E+05,1.215E+01,3.194E+01,4.491E+01,10.12727605,0.002047118,0.0263,1007,0.00001846,0.706814449,1007
0.16,427.432,488.716,1424774.712,5.240E+05,1.214E+01,3.192E+01,4.471E+01,10.13326955,0.002046177,0.0263,1007,0.00001846,0.706814449,1007
0.17,427.879,488.940,1426264.969,5.225E+05,1.213E+01,3.189E+01,4.451E+01,10.13923086,0.002045242,0.0263,1007,0.00001846,0.706814449,1007
0.18,428.325,489.162,1427748.588,5.209E+05,1.212E+01,3.187E+01,4.431E+01,10.14516021,0.002044311,0.0263,1007,0.00001846,0.706814449,1007
0.19,428.768,489.384,1429225.603,5.194E+05,1.211E+01,3.184E+01,4.411E+01,10.1510578,0.002043386,0.0263,1007,0.00001846,0.706814449,1007
0.2,429.209,489.604,1430696.046,5.179E+05,1.210E+01,3.181E+01,4.392E+01,10.15692386,0.002042465,0.0263,1007,0.00001846,0.706814449,1007
0.21,429.648,489.824,1432159.951,5.164E+05,1.209E+01,3.179E+01,4.372E+01,10.16275858,0.00204155,0.0263,1007,0.00001846,0.706814449,1007
0.22,430.085,490.043,1433617.35,5.148E+05,1.208E+01,3.176E+01,4.353E+01,10.16856218,0.002040639,0.0263,1007,0.00001846,0.706814449,1007
0.23,430.520,490.260,1435068.276,5.133E+05,1.207E+01,3.174E+01,4.333E+01,10.17433486,0.002039733,0.0263,1007,0.00001846,0.706814449,1007
0.24,430.954,490.477,1436512.762,5.118E+05,1.206E+01,3.171E+01,4.314E+01,10.18007683,0.002038832,0.0263,1007,0.00001846,0.706814449,1007
0.25,431.385,490.693,1437950.839,5.103E+05,1.205E+01,3.169E+01,4.295E+01,10.18578829,0.002037936,0.0263,1007,0.00001846,0.706814449,1007
0.26,431.815,490.907,1439382.541,5.088E+05,1.204E+01,3.166E+01,4.276E+01,10.19146944,0.002037044,0.0263,1007,0.00001846,0.706814449,1007
0.27,432.242,491.121,1440807.898,5.073E+05,1.203E+01,3.163E+01,4.257E+01,10.19712048,0.002036157,0.0263,1007,0.00001846,0.706814449,1007
0.28,432.668,491.334,1442226.943,5.058E+05,1.202E+01,3.161E+01,4.238E+01,10.20274161,0.002035275,0.0263,1007,0.00001846,0.706814449,1007
0.29,433.092,491.546,1443639.708,5.043E+05,1.201E+01,3.158E+01,4.220E+01,10.20833302,0.002034398,0.0263,1007,0.00001846,0.706814449,1007
