Time Step,flow-time,Tw,Tavg,Tfilm,,k(Tf),rho(Tf),beta(Tf),mu(Tf),cp(Tf),h(Tf),soc(Tf),nu(Tf),ra(Tf),k,rho,beta,mu,cp,h,soc,nu,ra
0.0,0.0,620,579.9999996624898,599.9999998312448,,0.1769820399666254,1676.4000001053034,0.00042837199996894075,1.007993727265948,1110.1778295750958,0.0,-8.437754672740993e-09,0.0,188144.21992235238,0.17700425463366698,1676.4000001053032,0.0003722330755781973,1.1057111945888602,1125.4845404043726,0.0,-8.437754672740993e-09,0.0,151075.26447933863
1.0,5e-05,620,580.0000642509548,600.0000321254774,,0.1769820463534366,1676.3999799537023,0.00042837200591266456,1.007991762698272,1110.1778436839024,9574.997362800621,1.6062738694699874e-06,2164.0607191712916,188144.2765033239,0.1770042609487376,1676.3999799537025,0.00037223308003068415,1.1057095316313903,1125.4845679260359,4787.498681400297,1.6062738694699874e-06,1081.89456134885,151075.24422842968
2.0,0.0001,620,580.0001287735694,600.0000643867847,,0.1769820527337365,1676.3999598226465,0.0004283720118503285,1.0079898001335537,1110.1778577783323,9558.628453752046,3.2193392343060623e-06,2160.3610775455695,188144.33302684943,0.17700426725737023,1676.3999598226462,0.00037223308447861776,1.10570787036819,1125.4845954196655,4779.314226876009,3.2193392343060623e-06,1080.0449731365454,151075.2239982762
3.0,0.0001921463957718696,620,580.0002474621759,600.000123731088,,0.1769820644702256,1676.3999227918011,0.0004283720227725929,1.007986190018353,1110.1778837048928,9528.600233307776,6.186554398368571e-06,2153.5742080601194,188144.43700185514,0.1770042788620286,1676.3999227918014,0.00037223309266057027,1.1057048144905879,1125.484645993949,4764.300116653874,6.186554398368571e-06,1076.6519650900766,151075.18678545352
4.0,0.0003653214210831761,620,580.0004697405143,600.0002348702571,,0.17698208645015903,1676.3998534409598,0.0004283720432276547,1.0079794290458315,1110.1779322598552,9472.651608918211,1.174351285726516e-05,2140.9289039172586,188144.6317269696,0.1770043005950723,1676.39985344096,0.0003722331079835864,1.1056990914756544,1125.484740708985,4736.325804459106,1.174351285726516e-05,1070.3301080337621,151075.1170948392
5.0,0.0006790663999286046,620,580.0008699201119,600.0004349600559,,0.1769821260218208,1676.3997285849252,0.00042837208005399804,1.0079672569048823,1110.178019676176,9372.852393839872,2.174800279703959e-05,2118.372652543287,188144.98230825356,0.17700433972224872,1676.3997285849252,0.00037223313557044167,1.1056887879901214,1125.4849112303143,4686.426196919936,2.174800279703959e-05,1059.053400447418,151074.99163052725
6.0,0.001231620613689652,620,580.0015670179773,600.0007835089887,,0.17698219495420486,1676.3995110903913,0.00042837214420410834,1.007946053491403,1110.1781719528126,9201.800394012078,3.9175449433059836e-05,2079.712119378584,188145.5930299178,0.17700440788036656,1676.3995110903911,0.00037223318362573536,1.105670839596184,1125.4852082744644,4600.900197006039,3.9175449433059836e-05,1039.7255643748008,151074.773086941
7.0,0.002179653654569076,620,580.0027411992377,600.0013705996189,,0.17698231106297727,1676.399144745838,0.00042837225225759854,1.0079103387775885,1110.178428447266,8921.513525760483,6.852998094188933e-05,2016.3627590072226,188146.62178417423,0.17700452268500688,1676.399144745838,0.00037223326456938026,1.105640607278033,1125.4857086180546,4460.756762880229,6.852998094188933e-05,1008.0548666699297,151074.40500565263
8.0,0.003760486324352326,620,580.0046416964246,600.0023208482123,,0.17698249899365587,1676.3985517907158,0.0004283724271499777,1.0078525319334333,1110.178843607267,8487.95468157452,0.00011604241061604625,1918.3715293519006,188148.287066894,0.17700470850493472,1676.3985517907156,0.0003722333955826131,1.1055916732607167,1125.4865184785124,4243.97734078726,0.00011604241061604625,959.0654116794734,151073.809320038
9.0,0.006348345941187737,620,580.0076120880743,600.0038060440372,,0.17698279272145911,1676.397625028521,0.00042837270049890253,1.007762182435224,1110.1794924965577,7857.844555534194,0.00019030220185811686,1775.9567322233656,188150.8902490311,0.17700499893393035,1676.3976250285211,0.00037223360035064325,1.1055151895450335,1125.487784299101,3928.9222777670857,0.00019030220185811686,887.8669645332701,151072.87848968973
