Time Step,flow-time,Tw,Tavg,Tfilm,,k(Tf),rho(Tf),beta(Tf),mu(Tf),cp(Tf),h(Tf),soc(Tf),nu(Tf),ra(Tf),k,rho,beta,mu,cp,h,soc,nu,ra
0.0,0.0,660,439.9999997439706,549.9999998719853,,0.16751009497681546,1707.6000000798813,0.00036838699866073376,6.16401002629421,1097.015982219559,0.0,-1.163770041950391e-09,0.0,157636.53599863936,0.1675261378174014,1707.46406320899,0.00034841600349638243,12.59565383291834,1128.7482680600642,0.0,-1.163770041950391e-09,0.0,75052.76656088603
1.0,5e-05,660,440.0002454547154,550.0001227273577,,0.1675101172269579,1707.599923418129,0.00036838828395130256,6.163984791800717,1097.0159932350086,7834.13733473403,1.115703251870896e-06,1870.72577213223,157637.5217613681,0.16752616692104338,1707.4639918803643,0.0003484161928511169,12.595667498926792,1128.7480250600013,3917.0686673670143,1.115703251870896e-06,935.2732744642011,75052.60662885477
2.0,0.0001,660,440.0004920241275,550.0002460120637,,0.16751013955486133,1707.5998464884724,0.00036838957373348113,6.1639594691221085,1097.0160042890625,7829.287370230147,2.2364733067351234e-06,1869.5673924063499,157638.51097570776,0.16752619612636827,1707.4639203023805,0.00034841638286938457,12.595681212678734,1128.7477812079114,3914.6436851150743,2.2364733067351234e-06,934.6941017301396,75052.44613852221
3.0,0.00015,660,440.0007394202734,550.0003697101367,,0.1675101619576341,1707.5997693008749,0.0003683908678402306,6.163934061537909,1097.0160153802892,7824.434857379268,3.3610012428136376e-06,1868.4084036306258,157639.50351361526,0.16752622542959364,1707.4638484843442,0.00034841657352668447,12.59569497239794,1128.7475365353469,3912.217428689633,3.3610012428136376e-06,934.1146244195237,75052.28511070229
4.0,0.00025,660,440.0012365366886,550.0006182683443,,0.16751020697365432,1707.5996142005533,0.0003683934682110055,6.163883007682079,1097.0160376672707,7814.730585502511,5.6206213119222325e-06,1866.0906046714147,157641.49793421518,0.16752628431125757,1707.4637041733497,0.0003484169566379777,12.595722621056805,1128.7470448830438,3907.365292751256,5.6206213119222325e-06,932.9557588686245,75051.96154416636
5.0,0.00045,660,440.0022392757319,550.0011196378659,,0.16751029777603135,1707.5993013459718,0.000368398713447783,6.163780026382331,1097.016082623938,7795.339710847305,1.0178526054005488e-05,1861.459221156664,157645.52098566655,0.16752640308182684,1707.4634130811396,0.0003484177294390512,12.595778391298946,1128.7460531306247,3897.6698554236523,1.0178526054005488e-05,930.640134025887,75051.30888211569
6.0,0.0008500000000000001,660,440.004273439912,550.0021367199561,,0.16751048197869317,1707.5986666867475,0.0003684093539756859,6.163571117721018,1097.016173828926,7756.722551333055,1.942472687284697e-05,1852.235743031218,157653.68252197362,0.16752664401953496,1707.4628225655426,0.0003484192972437392,12.59589152652561,1128.7440411098316,3878.361275666525,1.942472687284697e-05,926.0285248033207,75049.98491803168
6.0,0.0008500000000000001,660,440.004273439912,550.0021367199561,,0.16751048197869317,1707.5986666867475,0.0003684093539756859,6.163571117721018,1097.016173828926,7756.722551333055,1.942472687284697e-05,1852.235743031218,157653.68252197362,0.16752664401953496,1707.4628225655426,0.0003484192972437392,12.59589152652561,1128.7440411098316,3878.361275666525,1.942472687284697e-05,926.0285248033207,75049.98491803168
7.0,0.000893354338159195,660,440.0044966182998,550.0022483091499,,0.16751050218851504,1707.5985970550905,0.00036841052140154255,6.16354819730061,1097.0161838359365,7752.452375853747,2.0439174090049826e-05,1851.2158400980009,157654.5779931632,0.16752667045392636,1707.4627577768015,0.00034841946926317827,12.595903939102053,1128.7438203491492,3876.2261879268744,2.0439174090049826e-05,925.518588156487,75049.83966181318
8.0,0.00122648124796374,660,440.0062176060159,550.003108803008,,0.16751065803194892,1707.5980601069232,0.0003684195237318327,6.163371451862154,1097.0162610056498,7720.451066582599,2.8261845526923354e-05,1843.5725003504185,157661.4833947198,0.1675268742958835,1707.4622581716433,0.00034842079580180466,12.595999655380885,1128.7421179269163,3860.2255332912987,2.8261845526923354e-05,921.6970231232094,75048.71956949391
9.0,0.001654260999539245,660,440.0084516717246,550.0042258358623,,0.16751086033734697,1707.5973630784222,0.00036843120992645714,6.1631420133138874,1097.0163611898975,7679.733811921127,3.8416689657145234e-05,1833.8473807501332,157670.44799404743,0.1675271389075352,1707.4616096139216,0.00034842251795629887,12.596123906522761,1128.739907755407,3839.8669059605645,3.8416689657145234e-05,916.8345931294004,75047.26558869264
10.0,0.002509820502690257,660,440.0129763449575,550.0064881724787,,0.16751127006955024,1707.5959513803734,0.00036845487808080473,6.162677329372865,1097.0165641213998,7600.0702744850905,5.898338617049086e-05,1814.8200467537642,157688.60577572865,0.16752767482199435,1707.4602960658367,0.0003484260063183442,12.596375549915615,1128.7354307615835,3800.035137242546,5.898338617049086e-05,907.3211673904634,75044.32098272358
11.0,0.003697901130958458,660,440.0193406925414,550.0096703462707,,0.16751184639652117,1707.5939657039273,0.00036848816940443925,6.162023710875994,1097.016849624464,7493.020785785337,8.791223882450471e-05,1789.2515537195939,157714.15012967927,0.16752842861909392,1707.4584484043207,0.0003484309140619722,12.596729500242633,1128.729131861736,3746.5103928926683,8.791223882450471e-05,894.5372254188654,75040.17948715905
12.0,0.005337620320399136,660,440.0282043445769,550.0141021722884,,0.16751264905499363,1707.5912002444923,0.00036853453436244996,6.161113413811957,1097.0172473668626,7351.458054227915,0.00012820156625872932,1755.4395075716257,157749.73335363466,0.16752947840931035,1707.4558750778222,0.0003484377511554076,12.597222432571156,1128.7203562083782,3675.7290271139595,0.00012820156625872932,877.6315815019414,75034.41229036602
13.0,0.00796929018765918,660,440.0421867312124,550.0210933656062,,0.16751391525982537,1707.586837739862,0.0003686076749558152,6.159677422704472,1097.01787509112,6984.3315264353,0.00019175786914719207,1667.7615147618349,157805.88355293643,0.1675311343889436,1707.4518154706116,0.0003484485415212245,12.59799999481955,1128.7065051819081,3492.165763217648,0.00019175786914719207,833.7950497273341,75025.3161623693
14.0,0.01249971663661374,660,440.0651254162111,550.0325627081056,,0.16751599255662625,1707.5796808701423,0.0003687276651317086,6.157321619755102,1097.01890565893,6352.763965957519,0.00029602461914144193,1516.9331283543122,157898.04740989936,0.16753385092885983,1707.4451550079061,0.00034846625645614405,12.599275519438386,1128.6837622228818,3176.3819829787576,0.00029602461914144193,758.3857149747128,75010.39784742374
14.0,0.01249971663661374,660,440.0651254162111,550.0325627081056,,0.16751599255662625,1707.5796808701423,0.0003687276651317086,6.157321619755102,1097.01890565893,6352.763965957519,0.00029602461914144193,1516.9331283543122,157898.04740989936,0.16753385092885983,1707.4451550079061,0.00034846625645614405,12.599275519438386,1128.6837622228818,3176.3819829787576,0.00029602461914144193,758.3857149747128,75010.39784742374
