Time Step,flow-time,Tw,Tavg,Tfilm,,k(Tf),rho(Tf),beta(Tf),mu(Tf),cp(Tf),h(Tf),soc(Tf),nu(Tf),ra(Tf),k,rho,beta,mu,cp,h,soc,nu,ra
0.0,0.0,620,399.9999997672307,509.9999998836154,,0.16053233498047303,1732.5600000726242,0.00035451097461812063,23.40039008503059,1099.9082736971814,0.0,-1.0580423163859945e-09,0.0,43037.671171398484,0.15865010266863308,1731.3173910501807,0.0003488017784538133,12.556598492325156,1128.8562366319798,0.0,-1.0580423163859945e-09,0.0,81833.28928776339
1.0,5e-05,620,400.0002823202449,510.00014116012244,,0.1605323586837922,1732.5599119160838,0.00035451057627305325,23.40028686841453,1099.9082360940733,7338.395361770441,1.2832738403548401e-06,1828.5149291863852,43037.74516682966,0.15865013614618054,1731.3173051250706,0.0003488016202689062,12.556614605052316,1128.8563848107983,3669.1976808852205,1.2832738403548401e-06,925.1041997226943,81833.02741677826
2.0,0.0001,620,400.0005644938419,510.00028224692096,,0.16053238235528877,1732.5598238779216,0.0003545101784628905,23.40018379039953,1099.9081985417042,7330.118535105821,2.5658810996405505e-06,1826.452315118048,43037.81906374453,0.15865016957881514,1731.317219315429,0.00034880146229592445,12.556630696184326,1128.8565327904741,3665.0592675529106,2.5658810996405505e-06,924.0605988087927,81832.76589785033
3.0,0.00015,620,400.0008462908897,510.00042314544487,,0.16053240599520333,1732.5597359572425,0.00035450978118358936,23.40008084993796,1099.9081610396918,7321.883910931496,3.8467767712869645e-06,1824.4002176483352,43037.892862890745,0.15865020296687646,1731.317133620384,0.00034880130453326794,12.556646765884567,1128.8566805725113,3660.941955465747,3.8467767712869645e-06,923.0223187877273,81832.5047283209
4.0,0.00025,620,400.0014086130138,510.0007043065069,,0.16053245316834666,1732.5595605127398,0.00035450898841822066,23.39987543366603,1099.9080862056721,7305.554564534577,6.40278642627188e-06,1820.3308852132006,43038.04013058975,0.15865026959241577,1731.3169626173626,0.00034880098971861286,12.556678832872905,1128.856975469035,3652.777282267288,6.40278642627188e-06,920.9633974531635,81831.98356935447
5.0,0.00045,620,400.0025282817493,510.00126414087464,,0.16053254709731654,1732.5592111760943,0.0003545074099019934,23.399466418676973,1099.90793720267,7273.441820995246,1.1492189769445427e-05,1812.3282667622557,43038.33337293965,0.15865040225447044,1731.3166221254098,0.00034880036286908354,12.55674268360411,1128.8575626508302,3636.720910497623,1.1492189769445427e-05,916.9143875637789,81830.94586759343
6.0,0.0008500000000000001,620,400.0047485708131,510.0023742854065,,0.16053273335759502,1732.5585184459064,0.0003545042797241065,23.39865534708198,1099.907641742981,7211.296376513144,2.1584412786782276e-05,1796.8413608082303,43038.91490821845,0.15865066532358693,1731.3159469381903,0.00034879911981170467,12.556869300725799,1128.8587270172422,3605.648188256573,2.1584412786782276e-05,909.0786177044829,81828.88813721958
7.0,0.00165,620,400.0091191296113,510.0045595648056,,0.16053310000542304,1732.5571548315615,0.00035449811808203614,23.397058781953,1099.9070601855253,7094.574907093565,4.145058914223848e-05,1767.7537920475966,43040.05979237289,0.15865118317311533,1731.3146178722902,0.0003487966728102711,12.557118549422162,1128.8610190004408,3547.2874535467836,4.145058914223848e-05,894.3614242513632,81824.83764393399
8.0,0.00325,620,400.0176209394381,510.00881046971904,,0.16053381323001825,1732.5545022668955,0.0003544861321755372,23.393953070823255,1099.9059290816692,6886.440974276841,8.009517926397661e-05,1715.885478758227,43042.28745441795,0.15865219054598584,1731.312032572657,0.0003487919124578067,12.557603427698252,1128.8654773564112,3443.2204871384206,8.009517926397661e-05,868.1179819298852,81816.95872355186
9.0,0.00639480317195144,620,400.0328239030615,510.01641195153076,,0.1605350886355398,1732.549758942245,0.0003544646989390607,23.388399428211613,1099.9039069918322,6566.053779494769,0.00014919955937051037,1636.0420230374864,43046.27288188401,0.1586539920269031,1731.3074097285844,0.0003487833988804209,12.558470582028038,1128.8734494273217,3283.0268897473843,0.00014919955937051037,827.7199578289031,81802.87054624764
10.0,0.01267561948909851,620,400.0608652055201,510.03043260276,,0.16053744112422277,1732.541010055878,0.0003544251661294329,23.378155940423515,1099.9001791848711,6090.246124915879,0.0002766600250913081,1517.4643577888571,43053.63030390836,0.15865731510613562,1731.2988837273044,0.00034876769220114795,12.560070330506107,1128.888152352448,3045.1230624579403,0.0002766600250913081,767.7233313625333,81776.88856670925
10.0,0.01267561948909851,620,400.0608652055201,510.03043260276,,0.16053744112422277,1732.541010055878,0.0003544251661294329,23.378155940423515,1099.9001791848711,6090.246124915879,0.0002766600250913081,1517.4643577888571,43053.63030390836,0.15865731510613562,1731.2988837273044,0.00034876769220114795,12.560070330506107,1128.888152352448,3045.1230624579403,0.0002766600250913081,767.7233313625333,81776.88856670925
10.0,0.01267561948909851,620,400.0608652055201,510.03043260276,,0.16053744112422277,1732.541010055878,0.0003544251661294329,23.378155940423515,1099.9001791848711,6090.246124915879,0.0002766600250913081,1517.4643577888571,43053.63030390836,0.15865731510613562,1731.2988837273044,0.00034876769220114795,12.560070330506107,1128.888152352448,3045.1230624579403,0.0002766600250913081,767.7233313625333,81776.88856670925
10.0,0.01267561948909851,620,400.0608652055201,510.03043260276,,0.16053744112422277,1732.541010055878,0.0003544251661294329,23.378155940423515,1099.9001791848711,6090.246124915879,0.0002766600250913081,1517.4643577888571,43053.63030390836,0.15865731510613562,1731.2988837273044,0.00034876769220114795,12.560070330506107,1128.888152352448,3045.1230624579403,0.0002766600250913081,767.7233313625333,81776.88856670925
11.0,0.007987504306856307,620,400.0393781098935,510.01968905494675,,0.1605356384863512,1732.5477140297135,0.0003544554587758645,23.386005176455885,1099.903035460148,6441.733331860128,0.00017899140860684135,1605.0600085059136,43047.99181263101,0.15865476870711018,1731.3054168348622,0.00034877972812480065,12.55884446117151,1128.876886148176,3220.866665930064,0.00017899140860684135,812.0440859552227,81796.79730849418
11.0,0.007987504306856307,620,400.0393781098935,510.01968905494675,,0.1605356384863512,1732.5477140297135,0.0003544554587758645,23.386005176455885,1099.903035460148,6441.733331860128,0.00017899140860684135,1605.0600085059136,43047.99181263101,0.15865476870711018,1731.3054168348622,0.00034877972812480065,12.55884446117151,1128.876886148176,3220.866665930064,0.00017899140860684135,812.0440859552227,81796.79730849418
12.0,0.008389106796998563,620,400.0411522475466,510.0205761237733,,0.16053578732435506,1732.5471604987656,0.00035445295758512285,23.385357083971204,1099.9027995706717,6408.566610814165,0.0001870556706664543,1596.7945135786968,43048.457183174956,0.1586549789480671,1731.304877392803,0.00034877873445439243,12.558945669174037,1128.8778164079442,3204.2833054070825,0.0001870556706664543,807.8620227748285,81795.15340112119
13.0,0.009233201588883872,620,400.0449674691152,510.02248373455757,,0.160536107396215,1732.5459701496363,0.0003544475788610718,23.383963383532222,1099.9022923312796,6338.719175152118,0.00020439758688723942,1579.3877845829884,43049.45805984154,0.1586554310694925,1731.3037173530022,0.00034877659753549897,12.559163319008428,1128.8798168771239,3169.3595875760598,0.00020439758688723942,799.0547984929307,81791.61829049353
13.0,0.009233201588883872,620,400.0449674691152,510.02248373455757,,0.160536107396215,1732.5459701496363,0.0003544475788610718,23.383963383532222,1099.9022923312796,6338.719175152118,0.00020439758688723942,1579.3877845829884,43049.45805984154,0.1586554310694925,1731.3037173530022,0.00034877659753549897,12.559163319008428,1128.8798168771239,3169.3595875760598,0.00020439758688723942,799.0547984929307,81791.61829049353
14.0,0.009305870312616312,620,400.0453017045099,510.02265085225497,,0.1605361354364121,1732.545865868193,0.0003544471076538498,23.383841287342502,1099.902247896316,6332.327596199403,0.00020591683868128092,1577.7949503979733,43049.54574978312,0.15865547067829436,1731.3036157275892,0.0003487764103248551,12.559182386747842,1128.8799921283062,3166.1637980997007,0.00020591683868128092,798.2488809401927,81791.30859802358
15.0,0.0102953025519665,620,400.0498814745378,510.02494073726893,,0.16053651965056084,1732.5444369799443,0.00035444065106443416,23.3821682973513,1099.9016390728225,6250.780168105261,0.00022673397517187574,1557.4724509317398,43050.74741720911,0.1586560134130159,1731.302223245186,0.0003487738450529854,12.559443663123332,1128.8823934367335,3125.3900840526294,0.00022673397517187574,787.9663724857534,81787.06517907462
16.0,0.01184762121036462,620,400.0571834831227,510.02859174156134,,0.1605371322471641,1732.542158753266,0.00035443035664548873,23.379500873615267,1099.9006684948047,6125.679228009179,0.00025992492328493264,1526.2959147863787,43052.6638235495,0.15865687877450446,1731.3000031116267,0.000348769754705596,12.559860266007796,1128.8862220046326,3062.8396140045893,0.00025992492328493264,772.1920757959032,81780.29967508915
17.0,0.01436086956592125,620,400.0691280808279,510.03456404041395,,0.16053813433991948,1732.5384320387818,0.0003544135170743647,23.375137512073547,1099.8990811800447,5932.054566609262,0.0003142185492177677,1478.042482803214,43055.799897523706,0.15865829438910295,1731.2963715514,0.0003487630630290222,12.560541803050482,1128.8924845216595,2966.027283304631,0.0003142185492177677,747.7774281451863,81769.233285047
18.0,0.01845530638693089,620,400.0883768957847,510.04418844789234,,0.16053974924543785,1732.5324264085154,0.0003543863799705026,23.36810591996984,1099.8965241315273,5580.603510529058,0.00040171316265762223,1390.4602534285186,43060.85690412648,0.1586605758189446,1731.2905195914877,0.000348752277504847,12.561640261249218,1128.902575991909,2790.301755264529,0.00040171316265762223,703.4644216717528,81751.40126413346
19.0,0.02522857108298279,620,400.118360115979,510.05918005798947,,0.1605422647899722,1732.5230716438148,0.0003543441094326872,23.357153049632878,1099.8925433705394,4944.047611459133,0.0005380005271772151,1231.8370163588093,43068.741900288456,0.15866412990633882,1731.2814050016736,0.000348735472753631,12.563351675095129,1128.918293589935,2472.023805729567,0.0005380005271772151,623.2092426155374,81723.62875944354
20.0,0.03567668499706902,620,400.1603249458879,510.0801624729439,,0.1605457856982851,1732.5099786168832,0.00035428494714397735,23.34182329726715,1099.8869764886952,4198.110616680865,0.000728749754035944,1045.9597175774907,43079.793943689205,0.15866910502546705,1731.26864977907,0.00034871194341995227,12.565747771825288,1128.9402889544815,2099.055308340433,0.000728749754035944,529.1654750314565,81684.76589216272
21.0,0.05040259502649853,620,400.2084824904608,510.1042412452304,,0.16054982636485204,1732.4949534629764,0.00035421705432606853,23.324231346234644,1099.8805947632181,3483.2999517408784,0.0009476476839128364,867.8427203838947,43092.500142143945,0.15867481544015558,1731.2540146564425,0.00034868492861108265,12.568498586018762,1128.965525624979,1741.6499758704392,0.0009476476839128364,439.0488738970186,81640.17930897082
21.0,0.05040259502649853,620,400.2084824904608,510.1042412452304,,0.16054982636485204,1732.4949534629764,0.00035421705432606853,23.324231346234644,1099.8805947632181,3483.2999517408784,0.0009476476839128364,867.8427203838947,43092.500142143945,0.15867481544015558,1731.2540146564425,0.00034868492861108265,12.568498586018762,1128.965525624979,1741.6499758704392,0.0009476476839128364,439.0488738970186,81640.17930897082
21.0,0.05040259502649853,620,400.2084824904608,510.1042412452304,,0.16054982636485204,1732.4949534629764,0.00035421705432606853,23.324231346234644,1099.8805947632181,3483.2999517408784,0.0009476476839128364,867.8427203838947,43092.500142143945,0.15867481544015558,1731.2540146564425,0.00034868492861108265,12.568498586018762,1128.965525624979,1741.6499758704392,0.0009476476839128364,439.0488738970186,81640.17930897082
22.0,0.04672111751914115,620,400.197777891442,510.098888945721,,0.1605489281770406,1732.4982932978703,0.00035423214573902193,23.32814173625622,1099.8820126970186,3579.5300764323315,0.000898990415645461,891.8228522796765,43089.67362435216,0.1586735460090672,1731.2572675743509,0.0003486909347677312,12.56788702285212,1128.9599163632422,1789.7650382161657,0.000898990415645461,451.18170816297055,81650.08910550522
22.0,0.04672111751914115,620,400.197777891442,510.098888945721,,0.1605489281770406,1732.4982932978703,0.00035423214573902193,23.32814173625622,1099.8820126970186,3579.5300764323315,0.000898990415645461,891.8228522796765,43089.67362435216,0.1586735460090672,1731.2572675743509,0.0003486909347677312,12.56788702285212,1128.9599163632422,1789.7650382161657,0.000898990415645461,451.18170816297055,81650.08910550522
23.0,0.04857708228376013,620,400.2040534968162,510.1020267484081,,0.1605494547413569,1732.4963353089936,0.00035422329834996347,23.32584925761303,1099.8811813861905,3480.2300073020388,0.0009275158946190293,867.0798696659904,43091.330530488274,0.15867429020992554,1731.2553605256003,0.00034868741372424776,12.56824554648775,1128.963204839893,1740.1150036510194,0.0009275158946190293,438.6633780050576,81644.27938360693
23.0,0.04857708228376013,620,400.2040534968162,510.1020267484081,,0.1605494547413569,1732.4963353089936,0.00035422329834996347,23.32584925761303,1099.8811813861905,3480.2300073020388,0.0009275158946190293,867.0798696659904,43091.330530488274,0.15867429020992554,1731.2553605256003,0.00034868741372424776,12.56824554648775,1128.963204839893,1740.1150036510194,0.0009275158946190293,438.6633780050576,81644.27938360693
24.0,0.05068840517555415,620,400.2110287330814,510.10551436654066,,0.1605500400131285,1732.4941590352787,0.0003542134646167484,23.323301203805375,1099.880257539018,3382.1945988046773,0.0009592215140062618,842.6518233263868,43093.172650825385,0.15867511740127863,1731.2532409216915,0.0003486834998572312,12.568644063871757,1128.9668598331968,1691.097299402339,0.0009592215140062618,426.30434490258955,81637.82220896271
25.0,0.05786803180754424,620,400.2339036137033,510.11695180685166,,0.16055195940621864,1732.4870220725247,0.00035418121546205154,23.31494500991416,1099.8772288826283,3118.0914554024957,0.0010631982441059956,776.8429527573172,43099.217438410444,0.15867783030323368,1731.246290178578,0.0003486706624690598,12.569951155912126,1128.9788454571624,1559.0457277012479,0.0010631982441059956,393.00908632841976,81616.64805055573
25.0,0.05786803180754424,620,400.2339036137033,510.11695180685166,,0.16055195940621864,1732.4870220725247,0.00035418121546205154,23.31494500991416,1099.8772288826283,3118.0914554024957,0.0010631982441059956,776.8429527573172,43099.217438410444,0.15867783030323368,1731.246290178578,0.0003486706624690598,12.569951155912126,1128.9788454571624,1559.0457277012479,0.0010631982441059956,393.00908632841976,81616.64805055573
26.0,0.05834936629001972,620,400.2356641608886,510.11783208044426,,0.16055210713260387,1732.486472781803,0.0003541787334312395,23.314301882027408,1099.8769958509395,3090.4354097425266,0.0010712007313117057,769.9520024835454,43099.682903407505,0.1586780391107826,1731.2457552438839,0.0003486696743168403,12.57005176649962,1128.979767875954,1545.2177048712638,0.0010712007313117057,389.5227628298218,81615.01851050643
27.0,0.06649166188696076,620,400.2606808988443,510.1303404494222,,0.16055420629894399,1732.4786675595608,0.0003541434646722159,23.30516326765213,1099.873685581397,2854.671648410838,0.0011849131765651257,711.2044496911107,43106.30058891612,0.1586810063631027,1731.2381543829565,0.0003486556309809641,12.571481580730945,1128.992874412745,1427.3358242054185,0.0011849131765651257,359.8000433496897,81591.86507242934
28.0,0.0813272974039056,620,400.3032683398797,510.1516341699398,,0.1605577799512295,1732.4653802779576,0.00035408342462231197,23.289606075441945,1099.8680547279282,2544.9711150108064,0.0013784924539986707,634.0324625275358,43117.58173175018,0.15868605843005984,1731.2252165768296,0.00034863171538101876,12.57391638526387,1129.0151834186001,1272.4855575054034,0.0013784924539986707,320.7554765918509,81552.45709585623
29.0,0.1038632364541999,620,400.361378767309,510.1806893836545,,0.16056265643210593,1732.4472498245998,0.00035400150016575896,23.268378336301996,1099.8603804047063,2223.1492427632306,0.0016426307604955458,553.8396765883832,43133.00632553974,0.15869295346462237,1731.2075661934896,0.00034859906469188206,12.577240191469441,1129.045617864031,1111.5746213816153,0.0016426307604955458,280.1824774480413,81498.7002035337
30.0,0.1460532602197862,620,400.4506135183435,510.22530675917176,,0.16057014533557717,1732.419408582277,0.0003538756964364192,23.235780881749097,1099.8486157772284,1860.8239706297938,0.002048243265197801,463.5541598946278,43156.763442000956,0.15870354490052294,1731.1804693729523,0.00034854888575916546,12.582347675443454,1129.0923394292154,930.4119853148969,0.002048243265197801,234.5031387668345,81416.18485166012
30.0,0.1460532602197862,620,400.4506135183435,510.22530675917176,,0.16057014533557717,1732.419408582277,0.0003538756964364192,23.235780881749097,1099.8486157772284,1860.8239706297938,0.002048243265197801,463.5541598946278,43156.763442000956,0.15870354490052294,1731.1804693729523,0.00034854888575916546,12.582347675443454,1129.0923394292154,930.4119853148969,0.002048243265197801,234.5031387668345,81416.18485166012
30.0,0.1460532602197862,620,400.4506135183435,510.22530675917176,,0.16057014533557717,1732.419408582277,0.0003538756964364192,23.235780881749097,1099.8486157772284,1860.8239706297938,0.002048243265197801,463.5541598946278,43156.763442000956,0.15870354490052294,1731.1804693729523,0.00034854888575916546,12.582347675443454,1129.0923394292154,930.4119853148969,0.002048243265197801,234.5031387668345,81416.18485166012
