Time Step,flow-time,Tw,Tavg,Tfilm,,k(Tf),rho(Tf),beta(Tf),mu(Tf),cp(Tf),h(Tf),soc(Tf),nu(Tf),ra(Tf),k,rho,beta,mu,cp,h,soc,nu,ra
0.0,0.0,620,599.9999996508517,609.9999998254259,,0.17897639496489287,1670.1600001089344,0.00042938051671304517,0.4971486708937918,1114.9057505179342,0.0,-1.7457415424360077e-08,0.0,188448.89364889343,0.17898194863175346,1670.1600001089344,0.000373618637404294,0.584654810845628,1135.200870325279,0.0,-1.7457415424360077e-08,0.0,141967.07320692544
1.0,5e-05,620,600.000032591697,610.0000162958486,,0.17897639827712128,1670.1599898313907,0.00042938051233740285,0.49714853687875643,1114.9057589018369,9789.385204158152,1.6295848524805478e-06,2187.860589081826,188448.62775508547,0.1789819519256876,1670.1599898313902,0.000373618639697726,0.5846541135890349,1135.2008869640272,4894.692602079048,1.6295848524805478e-06,1093.8963508703491,141967.0072826826
2.0,0.0001,620,600.0000654971564,610.0000327485782,,0.17897640158579164,1670.1599795648874,0.00042938050796646103,0.49714840300768454,1114.9057672767353,9771.927587756161,3.274857817814336e-06,2183.9588909316685,188448.3621467867,0.1789819552160834,1670.159979564887,0.00037361864198866095,0.584653417082458,1135.200903584901,4885.963793878081,3.274857817814336e-06,1091.9455624404811,141966.94142884927
3.0,0.00015,620,600.0000983673021,610.0000491836511,,0.17897640489091132,1670.159969309402,0.00042938050360021,0.4971482692802801,1114.9057756426482,9754.515851160048,4.918365107187128e-06,2180.0674467912268,188448.09682341226,0.17898195850294826,1670.1599693094022,0.00037361864427712166,0.5846527213243587,1135.2009201879382,4877.257925580024,4.918365107187128e-06,1089.9999008558584,141966.87564528824
4.0,0.00025,620,600.0001639673814,610.0000819836907,,0.1789764114870525,1670.159948842177,0.0004293804948863328,0.4971480023959044,1114.9057923387934,9719.8760682599,8.19836906771343e-06,2172.325612632602,188447.56730807523,0.17898196506265748,1670.1599488421768,0.0003736186488443249,0.5846513327790048,1135.2009533231892,4859.938034129923,8.19836906771343e-06,1086.1291041091363,141966.7443576118
5.0,0.00045,620,600.0002946112221,610.0001473056111,,0.1789764246233977,1670.159908081299,0.00042938047753247595,0.4971474708904513,1114.9058255895166,9651.322828254684,1.4730561105125162e-05,2157.0042755213162,188446.51276648277,0.17898197812644834,1670.159908081299,0.0003736186579400053,0.584648567475633,1135.2010193126898,4825.661414127315,1.4730561105125162e-05,1078.4686736936276,141966.4828909557
6.0,0.0008500000000000001,620,600.000553709178,610.000276854589,,0.17897645067591358,1670.1598272427368,0.00042938044311563087,0.49714641678812604,1114.905891533739,9517.055751210444,2.7685458900350567e-05,2126.9961976045015,188444.42135282166,0.1789820040350729,1670.1598272427364,0.00037361867597891145,0.5846430832649324,1135.2011501856389,4758.527875605249,2.7685458900350567e-05,1063.4651011445328,141965.96432164777
7.0,0.0015650745022207,620,600.0010100906763,610.0005050453382,,0.1789764965654681,1670.1596848517092,0.00042938038249295515,0.49714456006641833,1114.9060076898093,9285.735535712807,5.050453381727493e-05,2075.297195755793,188440.73746710105,0.17898204967117826,1670.1596848517092,0.0003736187077531028,0.5846334233926413,1135.2013807084634,4642.867767856404,5.050453381727493e-05,1037.6164037424253,141965.05084129947
8.0,0.002787114302163641,620,600.001771081993,610.0008855409965,,0.1789765730838419,1670.1594474224185,0.0004293802814079419,0.4971414640839963,1114.9062013745834,8914.16631854761,8.855409964780847e-05,1992.2532127982474,188434.594735982,0.17898212576695227,1670.159447422418,0.00037361876073481335,0.5846173165097173,1135.2017650927303,4457.083159273805,8.855409964780847e-05,996.0957028920867,141963.52749326354
9.0,0.004789231947462709,620,600.002970686005,610.0014853430025,,0.17897669370522193,1670.1590731459667,0.0004293801220605423,0.4971365836696555,1114.906506695635,8362.575385603877,0.0001485343002514128,1868.9752754908302,188424.91138555028,0.17898224572219112,1670.159073145967,0.00037361884425363227,0.584591927187979,1135.2023710246228,4181.287692801939,0.0001485343002514128,934.4586500030761,141961.12570312858
