Time Step,flow-time,Tw,Tavg,Tfilm,,k(Tf),rho(Tf),beta(Tf),mu(Tf),cp(Tf),h(Tf),soc(Tf),nu(Tf),ra(Tf),k,rho,beta,mu,cp,h,soc,nu,ra
0.0,0.0,480,459.9999997323188,469.99999986615944,,0.15334795993702321,1757.5200000835166,0.00029539900498556573,42.6659410963762,1127.1436032941313,0.0,-1.3384058661358722e-08,0.0,1973.8242540311603,0.15293491693754252,1757.678227914212,0.00034274811781308826,40.80490413745098,1129.1404444994753,0.0,-1.3384058661358722e-08,0.0,2405.812394483441
1.0,5e-05,480,460.0000252098549,470.00001260492746,,0.15334796593107247,1757.5199921345254,0.0002953990060976602,42.66594871965464,1127.1435850302064,8239.321711338842,1.2604927462689374e-06,2149.183176004379,1973.8212673929597,0.15293492208894396,1757.6782184345639,0.0003427482729078016,40.80491841890307,1129.14041572579,4119.660855669421,1.2604927462689374e-06,1077.4938253209443,2405.8094081005993
2.0,0.0001,480,460.0000506692831,470.0000253346416,,0.15334797192086247,1757.5199841911838,0.00029539900720896423,42.66595633751492,1127.143566779274,8228.346803231636,2.5334641549079606e-06,2146.320345854459,1973.8182828788708,0.1529349272366832,1757.6782089616,0.00034274842789247116,40.80493269018084,1129.1403869726412,4114.173401615806,2.5334641549079606e-06,1076.0585501175103,2405.8064238426905
3.0,0.00015,480,460.0000761106162,470.0000380553081,,0.15334797790639598,1757.519976253488,0.00029539900831947847,42.66596394996085,1127.1435485413247,8217.391958383152,3.805530809586344e-06,2143.4627493814287,1973.8153004873923,0.15293493238076336,1757.6781994953972,0.0003427485827668723,40.804946951291555,1129.1403582400137,4108.695979191576,3.805530809586344e-06,1074.6258988004447,2405.8034417062945
4.0,0.00025,480,460.0001269194954,470.0000634597477,,0.15334798986010578,1757.5199604011177,0.00029539901053728606,42.66597915277451,1127.1435121183558,8195.564545551704,6.345974770738394e-06,2137.7690188252855,1973.8093443583507,0.1529349426540008,1757.67818059019,0.0003427488920666156,40.804975432080354,1129.1403008583472,4097.782272775852,6.345974770738394e-06,1071.7713562809915,2405.7974860863105
5.0,0.0004366708923836782,480,460.0002215091457,470.00011075457286,,0.15334801211404414,1757.5199308891467,0.00029539901466612434,42.66600745548164,1127.1434443107253,8155.1032114042755,1.107545728586956e-05,2127.2145883024205,1973.7982559930294,0.1529349617794328,1757.6781453949382,0.00034274946788392534,40.8050284538162,1129.1401940332069,4077.5516057021377,1.107545728586956e-05,1066.4799096972738,2405.786398677731
6.0,0.0007556524420883144,480,460.0003824027062,470.0001912013531,,0.15334804996721074,1757.5198806903559,0.0002953990216891283,42.66605559735877,1127.1433289727736,8086.780587091201,1.9120135308980935e-05,2109.3924803922414,1973.7793951303083,0.1529349943110812,1757.6780855286966,0.00034275044733089944,40.805118641105864,1129.140012330235,4043.390293545589,1.9120135308980935e-05,1057.544824651716,2405.767539454026
7.0,0.00129984059184676,480,460.0006547590426,470.0003273795213,,0.15334811404411663,1757.5197957151788,0.0002953990335774825,42.66613709064687,1127.1431337328072,7972.551630683714,3.273795213090125e-05,2079.5956129959563,1973.7474680904033,0.15293504937974173,1757.67798418775,0.0003427521053209096,40.80527130557404,1129.139704756069,3986.275815341857,3.273795213090125e-05,1042.6062126396755,2405.7356152271323
8.0,0.002232193226377841,480,460.0011152492425,470.00055762462125,,0.1533482223832312,1757.5196520422364,0.0002953990536778799,42.666274876538054,1127.1428036311613,7783.451899779852,5.5762462125130696e-05,2030.2685688336956,1973.6934873727935,0.15293514248769138,1757.6778128409785,0.00034275490861257674,40.80552941889002,1129.1391847431157,3891.725949889926,5.5762462125130696e-05,1017.8761758967577,2405.6816393664308
9.0,0.003854052385700538,480,460.0018983457181,470.000949172859,,0.1533484066222387,1757.5194077161361,0.00029539908786004146,42.666509191287396,1127.1422422783842,7473.3397248514375,9.49172859037617e-05,1949.3752532457415,1973.6016903505722,0.1529353008240111,1757.67752144507,0.00034275967587793596,40.80596834106598,1129.1383004882273,3736.669862425729,9.49172859037617e-05,977.3204334885817,2405.5898509176595
